episode,total_reward,episode_length,mean_reward_last_100
1,11.0,11,11.0
2,20.0,20,15.5
3,23.0,23,18.0
4,14.0,14,17.0
5,28.0,28,19.2
6,14.0,14,18.333333333333332
7,13.0,13,17.571428571428573
8,10.0,10,16.625
9,15.0,15,16.444444444444443
10,13.0,13,16.1
11,17.0,17,16.181818181818183
12,19.0,19,16.416666666666668
13,30.0,30,17.46153846153846
14,43.0,43,19.285714285714285
15,14.0,14,18.933333333333334
16,13.0,13,18.5625
17,12.0,12,18.176470588235293
18,22.0,22,18.38888888888889
19,10.0,10,17.94736842105263
20,10.0,10,17.55
21,28.0,28,18.047619047619047
22,12.0,12,17.772727272727273
23,46.0,46,19.0
24,16.0,16,18.875
25,47.0,47,20.0
26,25.0,25,20.192307692307693
27,12.0,12,19.88888888888889
28,14.0,14,19.678571428571427
29,14.0,14,19.482758620689655
30,18.0,18,19.433333333333334
31,14.0,14,19.258064516129032
32,20.0,20,19.28125
33,17.0,17,19.21212121212121
34,39.0,39,19.794117647058822
35,17.0,17,19.714285714285715
36,65.0,65,20.97222222222222
37,12.0,12,20.72972972972973
38,18.0,18,20.657894736842106
39,17.0,17,20.564102564102566
40,19.0,19,20.525
41,14.0,14,20.365853658536587
42,15.0,15,20.238095238095237
43,14.0,14,20.093023255813954
44,16.0,16,20.0
45,16.0,16,19.91111111111111
46,21.0,21,19.934782608695652
47,32.0,32,20.19148936170213
48,26.0,26,20.3125
49,13.0,13,20.163265306122447
50,39.0,39,20.54
51,16.0,16,20.45098039215686
52,20.0,20,20.442307692307693
53,15.0,15,20.339622641509433
54,22.0,22,20.37037037037037
55,27.0,27,20.490909090909092
56,21.0,21,20.5
57,11.0,11,20.333333333333332
58,42.0,42,20.70689655172414
59,17.0,17,20.64406779661017
60,30.0,30,20.8
61,11.0,11,20.639344262295083
62,25.0,25,20.70967741935484
63,11.0,11,20.555555555555557
64,32.0,32,20.734375
65,21.0,21,20.73846153846154
66,14.0,14,20.636363636363637
67,24.0,24,20.686567164179106
68,14.0,14,20.58823529411765
69,26.0,26,20.666666666666668
70,26.0,26,20.742857142857144
71,29.0,29,20.859154929577464
72,30.0,30,20.98611111111111
73,25.0,25,21.041095890410958
74,24.0,24,21.08108108108108
75,42.0,42,21.36
76,27.0,27,21.43421052631579
77,35.0,35,21.61038961038961
78,10.0,10,21.46153846153846
79,22.0,22,21.468354430379748
80,17.0,17,21.4125
81,23.0,23,21.432098765432098
82,15.0,15,21.353658536585368
83,13.0,13,21.253012048192772
84,12.0,12,21.142857142857142
85,48.0,48,21.458823529411763
86,24.0,24,21.488372093023255
87,46.0,46,21.770114942528735
88,9.0,9,21.625
89,36.0,36,21.786516853932586
90,9.0,9,21.644444444444446
91,18.0,18,21.604395604395606
92,10.0,10,21.47826086956522
93,20.0,20,21.462365591397848
94,33.0,33,21.585106382978722
95,21.0,21,21.57894736842105
96,12.0,12,21.479166666666668
97,15.0,15,21.412371134020617
98,14.0,14,21.336734693877553
99,12.0,12,21.242424242424242
100,18.0,18,21.21
